a,video_id,author,likes,published,updated,text,teks_new,teks_new_lower,"sentimen (1 negatif, 2 netral, 3 positif)"
Ugxd6ONRpUE-TddGGEd4AaABAg,41RGl7dq8YQ,@paksis1287,0,2025-02-23T08:59:05Z,2025-02-23T08:59:05Z,Gaji dosen nggak usah dinaikkan . Makan gratis saja hanya 10 000. Berarti  uang makan setiap hari cukup 30 000,Gaji dosen nggak usah dinaikan . Makan gratis saja hanya 10 000. Berarti  uang makan setiap hari cukup 30 000,gaji dosen nggak usah dinaikkan . makan gratis saja hanya 10 000. berarti  uang makan setiap hari cukup 30 000,1
Ugyhe8KCgqPYKCjhfCF4AaABAg,41RGl7dq8YQ,@MuhammadSahabuddin-m7n,0,2025-02-23T08:50:32Z,2025-02-23T08:50:32Z,prof gak jelas.. makan siang gratis dengan nilai 5 ribu rupiah.. sisi lain orang tuanya di banyak yg di pecat gara2 efisiansi,prof gak jelas.. makan siang gratis dengan nilai 5 ribu rupiah.. sisi lain orang tuanya di banyak yg di pecat gara2 efisiensi,prof gak jelas.. makan siang gratis dengan nilai 5 ribu rupiah.. sisi lain orang tuanya di banyak yg di pecat gara2 efisiansi,1
Ugz9cCYvZHEN9y4jTDB4AaABAg,41RGl7dq8YQ,@fajardian2420,0,2025-02-23T08:22:55Z,2025-02-23T08:22:55Z,klo emng kaya gt kenyataan nya? yg Demo efisiensi kmrn malu dong???,kalau emng kaya gitu kenyataan nya? yg Demo efisiensi kemaren malu dong???,klo emng kaya gt kenyataan nya? yg demo efisiensi kmrn malu dong???,2
Ugy90aeKhN994jaC4dp4AaABAg,41RGl7dq8YQ,@dewasugi2597,1,2025-02-23T07:47:28Z,2025-02-23T07:47:28Z,Mahasiswa kupas dulu arti efisiensi. jgn2 kalian tdk efisien😂,Mahasiswa kupas dulu arti efisiensi. jangan-jangan kalian tidak efisien,mahasiswa kupas dulu arti efisiensi. jgn2 kalian tdk efisien,2
Ugwa7D5XNq2gI28r1y14AaABAg,41RGl7dq8YQ,@Bangkit-w7c,1,2025-02-23T07:46:21Z,2025-02-23T07:49:32Z,Tuh masyarakat denger penegasan dri Buk Wamen.. kalian mahasewa yg demo cma denger dan terhasut Berita Hoax dan Hasutan Mereka yg tidak berkuasa lagi.. pahami dlu butir2 impresnya bkan denger secara globar Pangkas Anggaran.,Tuh masyarakat denger penegasan dri Buk Wamen.. kalian mahasewa yg demo cma denger dan terhasut Berita Hoax dan Hasutan Mereka yg tidak berkuasa lagi.. pahami dlu butir2 impresnya bkan denger secara globar Pangkas Anggaran.,tuh masyarakat denger penegasan dri buk wamen.. kalian mahasewa yg demo cma denger dan terhasut berita hoax dan hasutan mereka yg tidak berkuasa lagi.. pahami dlu butir2 impresnya bkan denger secara globar pangkas anggaran.,3
Ugyr4qLaeZGSzJeCuZN4AaABAg,41RGl7dq8YQ,@DidiShaga,0,2025-02-23T07:20:10Z,2025-02-23T07:20:10Z,"Klo pembenci tuh mau di kasih tau kyak mna pun gak masuk ke kepala nya tuh,karena emang tujuan dia buat gaduh di negara ini😢😢😢","Klo pembenci tuh mau di kasih tau kyak mna pun gak masuk ke kepala nya tuh,karena emang tujuan dia buat gaduh di negara ini","klo pembenci tuh mau di kasih tau kyak mna pun gak masuk ke kepala nya tuh,karena emang tujuan dia buat gaduh di negara ini",3
UgxkOE1l-Re4sDBugwl4AaABAg,41RGl7dq8YQ,@TiffaniNon,0,2025-02-23T07:01:26Z,2025-02-23T07:01:26Z,Apakah lem aibon juga dipangkas yah....? 😮,Apakah lem aibon juga dipangkas yah....? ,apakah lem aibon juga dipangkas yah....? ,1
UgwyBfYIhBqpLLkIn2J4AaABAg,41RGl7dq8YQ,@MoelyonoMoelyono-nh8xh,0,2025-02-23T05:12:42Z,2025-02-23T05:12:42Z,Kebacut kalau sampai ada kekawatiran masalah bea siswa riset  juga terjsdi efisiensi,Kebacut kalau sampai ada kekawatiran masalah bea siswa riset  juga terjsdi efisiensi,kebacut kalau sampai ada kekawatiran masalah bea siswa riset  juga terjsdi efisiensi,1
Ugy5MsxYQMp0OkoCRP54AaABAg,41RGl7dq8YQ,@YonelGs,0,2025-02-23T04:30:13Z,2025-02-23T04:30:13Z,Kami minta agar anak yang dapat beasiswa harap jangan diputung.,Kami minta agar anak yang dapat beasiswa harap jangan diputung.,kami minta agar anak yang dapat beasiswa harap jangan diputung.,2
UgytZNetiv-1Gy3Ral54AaABAg,41RGl7dq8YQ,@teguhjayatehnik5969,0,2025-02-23T01:42:06Z,2025-02-23T01:42:06Z,Gak bisa bayar kuliah y gak usah sekolah begitu aj repot,Gak bisa bayar kuliah y gak usah sekolah begitu aj repot,gak bisa bayar kuliah y gak usah sekolah begitu aj repot,1
UgyrgUR7gwHkL8JwvNR4AaABAg,41RGl7dq8YQ,@NafisahShahab-r9e,0,2025-02-23T01:22:52Z,2025-02-23T01:22:52Z,"Mudah mudahan reshufle kamu termasuk yang di pecat dan dapat beasiswa sekolah ekomomie,jadi kalo bicara soal ekomomie ngak boooooodoooooo","Mudah mudahan reshufle kamu termasuk yang di pecat dan dapat beasiswa sekolah ekomomie,jadi kalo bicara soal ekomomie ngak boooooodoooooo","mudah mudahan reshufle kamu termasuk yang di pecat dan dapat beasiswa sekolah ekomomie,jadi kalo bicara soal ekomomie ngak boooooodoooooo",1
Ugz1aTavNt8RIGyNSNd4AaABAg,41RGl7dq8YQ,@HaanAbdilah,0,2025-02-23T00:18:42Z,2025-02-23T00:18:42Z,Efisiensi harusnya jngan ada wamen-wamen...,Efisiensi harusnya jangan ada wamen-wamen...,efisiensi harusnya jngan ada wamen-wamen...,1
UgwR7J8WN4XxWP1bmLp4AaABAg,41RGl7dq8YQ,@starkyaji9703,0,2025-02-22T23:14:25Z,2025-02-22T23:14:25Z,efisiensi bukan pemotongan... tp pemecatan wkwkwkkwkwkwk lambehhhhh,efisiensi bukan pemotongan... tapi pemecatan wkwkwkkwkwkwk lambehhhhh,efisiensi bukan pemotongan... tp pemecatan wkwkwkkwkwkwk lambehhhhh,1
Ugxp1KmmQVmuIoCEvD94AaABAg,41RGl7dq8YQ,@gaganfredy8968,0,2025-02-22T19:46:19Z,2025-02-22T19:46:19Z,Pada bodoh udh ketakutan duluan capek2 demo otak kosong😂,Pada bodoh udah ketakutan duluan capek-capek demo otak kosong,pada bodoh udh ketakutan duluan capek2 demo otak kosong,2
UgzUxAXsQ8-Mj41JTKd4AaABAg,41RGl7dq8YQ,@imammuslich9849,0,2025-02-22T15:43:19Z,2025-02-22T15:43:19Z,"Inilah wajah pemerintahan dengan karakteristik grusa grusu, mestinya pemerintah sudah tahu kebijakan efisiansi anggaran ini akan menjentuh baik sektor publik (ASN), sektor dunia usaha dan sektor masyarakat umum karena itu harus dikomunikasikan dengan sebaik-baiknya apalagi dengan narasi efisiensi yang akan memberikan image kepada masyarakat luas bahwa selama ini pengelola anggaran (ASN) telah memboroskan uang negara sd jumlah ratusan trilyun. Padahal faktanya tidak sepenuhnya seperti itu. Kalau sejak awal sudah dikomunikasikan komponen2 anggaran  belanja  yang hrs diefisienkan  dengan jelas pasti tidak ada kegaduhan seperti sekarang ini. Bagaimana ini SRIKANDI KITA  Bu SRI MULYANI kok tiba2 DLESEP sudah capek kah?.","Inilah wajah pemerintahan dengan karakteristik grusa grusu, mestinya pemerintah sudah tahu kebijakan efisiansi anggaran ini akan menyentuh baik sektor publik (ASN), sektor dunia usaha dan sektor masyarakat umum karena itu harus dikomunikasikan dengan sebaik-baiknya apalagi dengan narasi efisiensi yang akan memberikan image kepada masyarakat luas bahwa selama ini pengelola anggaran (ASN) telah memboroskan uang negara sampai dengan jumlah ratusan trilyun. Padahal faktanya tidak sepenuhnya seperti itu. Kalau sejak awal sudah dikomunikasikan komponen-komponen anggaran  belanja  yang harus diefisienkan  dengan jelas pasti tidak ada kegaduhan seperti sekarang ini. Bagaimana ini SRIKANDI KITA  Bu SRI MULYANI kok tiba-tiba DLESEP sudah capek kah?.","inilah wajah pemerintahan dengan karakteristik grusa grusu, mestinya pemerintah sudah tahu kebijakan efisiansi anggaran ini akan menjentuh baik sektor publik (asn), sektor dunia usaha dan sektor masyarakat umum karena itu harus dikomunikasikan dengan sebaik-baiknya apalagi dengan narasi efisiensi yang akan memberikan image kepada masyarakat luas bahwa selama ini pengelola anggaran (asn) telah memboroskan uang negara sd jumlah ratusan trilyun. padahal faktanya tidak sepenuhnya seperti itu. kalau sejak awal sudah dikomunikasikan komponen2 anggaran  belanja  yang hrs diefisienkan  dengan jelas pasti tidak ada kegaduhan seperti sekarang ini. bagaimana ini srikandi kita  bu sri mulyani kok tiba2 dlesep sudah capek kah?.",1
Ugy12iOc3ygRJ7UFV0B4AaABAg,41RGl7dq8YQ,@RiyantoRian-d2s,0,2025-02-22T14:03:52Z,2025-02-22T14:03:52Z,Maha sewa harusnya cerdss tangkas bukan gelap mata pemerintah pro rakyat.,Mahasewa harusnya cerdas tangkas bukan gelap mata pemerintah pro rakyat.,maha sewa harusnya cerdss tangkas bukan gelap mata pemerintah pro rakyat.,3
UgxwS6kiP2as0ryNA_14AaABAg,41RGl7dq8YQ,@budisetiawan9701,0,2025-02-22T12:32:48Z,2025-02-22T12:32:48Z,aa ee aa ee muluu mbak,aa ee aa ee muluu mbak,aa ee aa ee muluu mbak,1
UgyVT4cFLqFzghHA2j14AaABAg,41RGl7dq8YQ,@dr.andicudainurmsi5984,0,2025-02-22T11:33:20Z,2025-02-22T11:38:03Z,SDM perlu di manajemen secara optimal sejak Pendidikan Usia Dini sampai Perguruan Tinggi: Manajemen Menekankan Efisiensi Sehingga Berproses dengan Pencapaian Tujuan  yang Nyata Tepat pada Sasaran. Kompas TV Ok 🎉,SDM perlu di manajemen secara optimal sejak Pendidikan Usia Dini sampai Perguruan Tinggi: Manajemen Menekankan Efisiensi Sehingga Berproses dengan Pencapaian Tujuan  yang Nyata Tepat pada Sasaran. Kompas TV Ok ,sdm perlu di manajemen secara optimal sejak pendidikan usia dini sampai perguruan tinggi: manajemen menekankan efisiensi sehingga berproses dengan pencapaian tujuan  yang nyata tepat pada sasaran. kompas tv ok ,2
Ugxr-nWqBMQqVBM2H0V4AaABAg,41RGl7dq8YQ,@dr.andicudainurmsi5984,0,2025-02-22T11:26:53Z,2025-02-22T11:26:53Z,"Setuju sekali, terimakasih Kompas Tv Live","Setuju sekali, terimakasih Kompas Tv Live","setuju sekali, terimakasih kompas tv live",3
UgwMG0qQZ16ra6fVXqF4AaABAg,41RGl7dq8YQ,@MochamadJainudin_Zain,0,2025-02-22T08:04:35Z,2025-02-22T08:04:35Z,"Clue-nya ""GARBAGE IN GARBAGE OUT""....🙏🇮🇩 SEKARANG MASALAHNYA SIAPA YG REKAYASA GARBAGE NYA....❗SOLUSINYA DATA HARUS TERDATABASE TERINTEGRASI EQMS ISO 9001 (AKAN MEMBANTU ""FAST DECISION WITH ACCURATE, PRECISION SOLUTION"") 👍DATA TERINTEGRASI OTOMATIS.....😂🙏🇮🇩 KALO SEANDAINYA NEGARA 🇮🇩 ITU MILIK PERUSAHAAN PRIBADI SAYA, INSYAALLAH 🇮🇩 TUMBUH PESAT MAJU MAKMUR FULL BENEFITS BUKAN PERUSAHAAN BANKRUPT......🙏JANGAN PERPANDANGAN PICIK TENTANG EQMS ISO 9001/DATA TERINTEGRASI OTOMATIS...INI MEDIA PEMBELAJARAN BANGSA, NEGARA, RAKYAT🇮🇩 (😂NGUBAH TABIAT PERILAKU YG UDA JADI KEBIASAAN YG BURUK ITU BERAT SEKALI BUTUH TEKUN, KOMITMEN, KESABARAN, DLL.....❗🇮🇩 INSYAALLAH SAYA JAMIN SELAMANYA 🇮🇩 TERBELAKANG TANPA EQMS ISO 9001 😂SAYA IQRO 🇮🇩 SEJAK KECIL & BUKAN AREK WINGI SORE TENTANG 🇮🇩....MASA MUDA SAYA KAYA PENGALAMAN YG MENARIK).","Clue-nya ""GARBAGE IN GARBAGE OUT"".... SEKARANG MASALAHNYA SIAPA YG REKAYASA GARBAGE NYA....SOLUSINYA DATA HARUS TERDATABASE TERINTEGRASI EQMS ISO 9001 (AKAN MEMBANTU ""FAST DECISION WITH ACCURATE, PRECISION SOLUTION"") DATA TERINTEGRASI OTOMATIS..... KALO SEANDAINYA NEGARA  ITU MILIK PERUSAHAAN PRIBADI SAYA, INSYAALLAH  TUMBUH PESAT MAJU MAKMUR FULL BENEFITS BUKAN PERUSAHAAN BANKRUPT......JANGAN PERPANDANGAN PICIK TENTANG EQMS ISO 9001/DATA TERINTEGRASI OTOMATIS...INI MEDIA PEMBELAJARAN BANGSA, NEGARA, RAKYAT (NGUBAH TABIAT PERILAKU YG UDA JADI KEBIASAAN YG BURUK ITU BERAT SEKALI BUTUH TEKUN, KOMITMEN, KESABARAN, DLL..... INSYAALLAH SAYA JAMIN SELAMANYA  TERBELAKANG TANPA EQMS ISO 9001 SAYA IQRO  SEJAK KECIL & BUKAN AREK WINGI SORE TENTANG ....MASA MUDA SAYA KAYA PENGALAMAN YG MENARIK).","clue-nya ""garbage in garbage out"".... sekarang masalahnya siapa yg rekayasa garbage nya....solusinya data harus terdatabase terintegrasi eqms iso 9001 (akan membantu ""fast decision with accurate, precision solution"") data terintegrasi otomatis..... kalo seandainya negara  itu milik perusahaan pribadi saya, insyaallah  tumbuh pesat maju makmur full benefits bukan perusahaan bankrupt......jangan perpandangan picik tentang eqms iso 9001/data terintegrasi otomatis...ini media pembelajaran bangsa, negara, rakyat (ngubah tabiat perilaku yg uda jadi kebiasaan yg buruk itu berat sekali butuh tekun, komitmen, kesabaran, dll..... insyaallah saya jamin selamanya  terbelakang tanpa eqms iso 9001 saya iqro  sejak kecil & bukan arek wingi sore tentang ....masa muda saya kaya pengalaman yg menarik).",2
UgyW4J-X4nOAhvPEjX14AaABAg,41RGl7dq8YQ,@Nia3-w4k,0,2025-02-22T05:23:42Z,2025-02-22T05:31:43Z,"harusnya kebijakan ini dijelaskan sebelumnya, jadi tidak terkesan kebijakan coba-coba... kayak pendahulu... hehehe.....","harusnya kebijakan ini dijelaskan sebelumnya, jadi tidak terkesan kebijakan coba-coba... kayak pendahulu... hehehe.....","harusnya kebijakan ini dijelaskan sebelumnya, jadi tidak terkesan kebijakan coba-coba... kayak pendahulu... hehehe.....",2
UgxG7aoUfPQm3v213U54AaABAg,41RGl7dq8YQ,@fendilie5564,0,2025-02-22T05:16:12Z,2025-02-22T05:16:12Z,"Temanku di slaah satu lembaga keagamaan malahan katanya kalo tahun ini gak di habisin dananya tahun depan gak bisa ajuin dana lebih lagi😂😂😂,jadi akhir tahun pasti jalan2 dinas luar,aku pun bingung gimana ini kerjanya cuma ngabisin dana saja😂😂😂","Temanku di salah satu lembaga keagamaan malahan katanya kalo tahun ini gak di habisin dananya tahun depan gak bisa ajuin dana lebih lagi,jadi akhir tahun pasti jalan2 dinas luar,aku pun bingung gimana ini kerjanya cuma ngabisin dana saja","temanku di slaah satu lembaga keagamaan malahan katanya kalo tahun ini gak di habisin dananya tahun depan gak bisa ajuin dana lebih lagi,jadi akhir tahun pasti jalan2 dinas luar,aku pun bingung gimana ini kerjanya cuma ngabisin dana saja",2
UgyMEMWwzR-O1noBo3h4AaABAg,41RGl7dq8YQ,@kinzhal91,0,2025-02-22T04:52:42Z,2025-02-22T04:52:42Z,"SEBENAR NYA DEMO YG DILAKUKAN SEKARANG ITU ADALAH DEMO UNTUK MENOLAK PENAHANAN HASTO,TPI SENGAJA DICARI ALASAN UNTUK DEMO NYA,LALU ALASAN EFISIENSI","SEBENAR NYA DEMO YG DILAKUKAN SEKARANG ITU ADALAH DEMO UNTUK MENOLAK PENAHANAN HASTO,TPI SENGAJA DICARI ALASAN UNTUK DEMO NYA,LALU ALASAN EFISIENSI","sebenar nya demo yg dilakukan sekarang itu adalah demo untuk menolak penahanan hasto,tpi sengaja dicari alasan untuk demo nya,lalu alasan efisiensi",2
Ugxb7bu8znwDb6h_P_J4AaABAg,41RGl7dq8YQ,@sanggaksuti,0,2025-02-22T04:52:11Z,2025-02-22T04:52:11Z,inibaru mantap,ini baru mantap,ini baru mantap,3
UgynJ7k0aatr13RFYnl4AaABAg,41RGl7dq8YQ,@HandiyosoPakisrejo,0,2025-02-22T04:26:47Z,2025-02-22T04:26:47Z,"Dg uwanglah smua permasalahan menjadi beres.rakyat Indonesia hrs kaya,dn bisa mendapatkan uwang hingga milyaran Rp,tanpa negara/pemerintah dn siapapun dirugikan.dg secara logika transparan juga halal.kita bangkitkan raksasa ekonomi kerakyatan NKRI dr daya bhenika tunggal eka,dn Pancasila dr sila ke 3 persatuan indonesia.g.royong t.mnolong atas ksadaran berbangsa dn bernegara bukan kaya/miskin bersatu saling toleransi investasi satu sama lain warga bangsa ini untuk mengangkat ekonomi bersama.smua warga mampu hanya dlm Skali untuk partisipasinya,uwang datang halal.","Dengan uanglah semua permasalahan menjadi beres.rakyat Indonesia harus kaya,dan bisa mendapatkan uang hingga milyaran Rp,tanpa negara/pemerintah dan siapapun dirugikan.dengan secara logika transparan juga halal.kita bangkitkan raksasa ekonomi kerakyatan NKRI dr daya bhenika tunggal eka,dn Pancasila dr sila ke 3 persatuan indonesia gotong royong tolong menolong atas kesadaran berbangsa dan bernegara bukan kaya/miskin bersatu saling toleransi investasi satu sama lain warga bangsa ini untuk mengangkat ekonomi bersama.semua warga mampu hanya dalam Sekali untuk partisipasinya,uang datang halal.","dg uwanglah smua permasalahan menjadi beres.rakyat indonesia hrs kaya,dn bisa mendapatkan uwang hingga milyaran rp,tanpa negara/pemerintah dn siapapun dirugikan.dg secara logika transparan juga halal.kita bangkitkan raksasa ekonomi kerakyatan nkri dr daya bhenika tunggal eka,dn pancasila dr sila ke 3 persatuan indonesia.g.royong t.mnolong atas ksadaran berbangsa dn bernegara bukan kaya/miskin bersatu saling toleransi investasi satu sama lain warga bangsa ini untuk mengangkat ekonomi bersama.smua warga mampu hanya dlm skali untuk partisipasinya,uwang datang halal.",2
UgwwnF3YhDNcOHWD3Sh4AaABAg,41RGl7dq8YQ,@BebenBudiman-w6k,3,2025-02-22T03:27:43Z,2025-02-22T03:27:43Z,Saya rakyat kecil sangat setuju sekali efisiensi anggaran pendidikan ataupun kementerian yg lain.karena yg di hilangkan perjalanan dinas ke luar negeri.rapat di hotel mewah.UKT tidak naik .Bansos beasiswa masih ada.kesempatan nyolong tidak ada,Saya rakyat kecil sangat setuju sekali efisiensi anggaran pendidikan ataupun kementerian yg lain.karena yg di hilangkan perjalanan dinas ke luar negeri.rapat di hotel mewah.UKT tidak naik .Bansos beasiswa masih ada.kesempatan nyolong tidak ada,saya rakyat kecil sangat setuju sekali efisiensi anggaran pendidikan ataupun kementerian yg lain.karena yg di hilangkan perjalanan dinas ke luar negeri.rapat di hotel mewah.ukt tidak naik .bansos beasiswa masih ada.kesempatan nyolong tidak ada,3
Ugx17byUkVXHFC90cAd4AaABAg,41RGl7dq8YQ,@mochamadmunif3417,0,2025-02-22T03:17:06Z,2025-02-22T03:17:06Z,omon2,omon omon,omon2,1
Ugxoadue6x0_n4_ECOZ4AaABAg,41RGl7dq8YQ,@funandlearningm,0,2025-02-22T03:10:17Z,2025-02-22T03:10:17Z,"Masyarakat kebanyakan tidak bisa kuliah karena, para orang tua siswa menerima gaji rendah dan biaya pendidikan yang begitu tinggi, menyebabkan ketimpangan","Masyarakat kebanyakan tidak bisa kuliah karena, para orang tua siswa menerima gaji rendah dan biaya pendidikan yang begitu tinggi, menyebabkan ketimpangan","masyarakat kebanyakan tidak bisa kuliah karena, para orang tua siswa menerima gaji rendah dan biaya pendidikan yang begitu tinggi, menyebabkan ketimpangan",2
Ugz7xqPRgnASvdsgYuZ4AaABAg,41RGl7dq8YQ,@putraBandungaldiyano-x3g,0,2025-02-22T03:10:12Z,2025-02-22T03:10:12Z,tenang tenang.. para pimpinan negara di bawah pimpinan bpk Prabowo belum 1 THN bekerja.. jadi kita simak dulu dengan seksama.. apa yg direncanakan untuk menjadi Indonesia emas.. ga gampang dan cepat buat menjalankan butuh proses.. sudah lah diharap tenang.. serahkan pada ahli nya,tenang tenang.. para pimpinan negara di bawah pimpinan pak Prabowo belum 1 TaHuN bekerja.. jadi kita simak dulu dengan seksama.. apa yg direncanakan untuk menjadi Indonesia emas.. gak gampang dan cepat buat menjalankan butuh proses.. sudah lah diharap tenang.. serahkan pada ahli nya,tenang tenang.. para pimpinan negara di bawah pimpinan bpk prabowo belum 1 thn bekerja.. jadi kita simak dulu dengan seksama.. apa yg direncanakan untuk menjadi indonesia emas.. ga gampang dan cepat buat menjalankan butuh proses.. sudah lah diharap tenang.. serahkan pada ahli nya,2
Ugzcu-kjecqoys5gJmR4AaABAg,41RGl7dq8YQ,@funandlearningm,0,2025-02-22T03:03:07Z,2025-02-22T03:07:47Z,"Ibu BANDINGKAN BIAYA KULIAHDI di Indonesia dengan gaji yang begitu rendah sangat menjadi mahal. Seperti Di Taiwan biaya kuliahpaisangat murah bagi orang local, hanya bayar satu kali dalam semester tapi di Indonesia dana ini dana itu, dan begitu juga biaya sekolah dari SD sampai 
SMA dan seherajatnya. conclusion: biaya sekolah, kuliah mahal, dan gaji rendah. tapi kebanyakan pejabat korupt. Kalau mau adil kasi semua siswa gratis biaya kuliah ini akan susah bagi koruptor korupt kalau gak akan sama saja dana akan di korupt sama sebelum belumnya","Ibu BANDINGKAN BIAYA KULIAHDI di Indonesia dengan gaji yang begitu rendah sangat menjadi mahal. Seperti Di Taiwan biaya kuliah sangat murah bagi orang local, hanya bayar satu kali dalam semester tapi di Indonesia dana ini dana itu, dan begitu juga biaya sekolah dari SD sampai 
SMA dan seherajatnya. conclusion: biaya sekolah, kuliah mahal, dan gaji rendah. tapi kebanyakan pejabat korupt. Kalau mau adil kasi semua siswa gratis biaya kuliah ini akan susah bagi koruptor korupt kalau gak akan sama saja dana akan di korupt sama sebelum belumnya","ibu bandingkan biaya kuliahdi di indonesia dengan gaji yang begitu rendah sangat menjadi mahal. seperti di taiwan biaya kuliahpaisangat murah bagi orang local, hanya bayar satu kali dalam semester tapi di indonesia dana ini dana itu, dan begitu juga biaya sekolah dari sd sampai 
sma dan seherajatnya. conclusion: biaya sekolah, kuliah mahal, dan gaji rendah. tapi kebanyakan pejabat korupt. kalau mau adil kasi semua siswa gratis biaya kuliah ini akan susah bagi koruptor korupt kalau gak akan sama saja dana akan di korupt sama sebelum belumnya",2
UgzH9PHyDoB668zxE7J4AaABAg,41RGl7dq8YQ,@mohamadlutfianto5585,0,2025-02-22T02:40:18Z,2025-02-22T02:40:18Z,Gajinya di efisiensi 50℅ mau ngga,Gajinya di efisiensi 50 c/o  mau ngga,gajinya di efisiensi 50 c/o  mau ngga,1
UgzsegXQTpL039Qi2CZ4AaABAg,41RGl7dq8YQ,@hadasasrisuyanti3228,0,2025-02-22T02:31:29Z,2025-02-22T02:31:29Z,"Sebelum progam "" pemerintah sampsikan ke ke rakyat
Sebainya Bem"" seluruh Indonesia di kumpulkan ,diajak bicara gitu menurut kami Bu Wamen
Sehingga tidak ad demo"" kekepannya 🙏🙏","Sebelum progam-program pemerintah sampaikan ke ke rakyat
Sebaiknya Bem seluruh Indonesia di kumpulkan ,diajak bicara gitu menurut kami Bu Wamen
Sehingga tidak ada demo-demo kedepannya ","sebelum progam "" pemerintah sampsikan ke ke rakyat
sebainya bem"" seluruh indonesia di kumpulkan ,diajak bicara gitu menurut kami bu wamen
sehingga tidak ad demo"" kekepannya ",2
UgwJiFX7In8wDAxjqJt4AaABAg,41RGl7dq8YQ,@NeRaka-t1u,1,2025-02-22T02:29:14Z,2025-02-22T02:29:14Z,"Yang penting gaji dosen ga terpotong ya. Anggaran2 proyek yg cenderung berpotensi korupsi, sdh tentu perlu di tarik atau dipangkas","Yang penting gaji dosen gak terpotong ya. Anggaran2 proyek yg cenderung berpotensi korupsi, sdh tentu perlu di tarik atau dipangkas","yang penting gaji dosen ga terpotong ya. anggaran2 proyek yg cenderung berpotensi korupsi, sdh tentu perlu di tarik atau dipangkas",3
Ugwmx_EHgelYlM1mFrF4AaABAg,41RGl7dq8YQ,@Gondrong-uj3kv,0,2025-02-22T02:19:00Z,2025-02-22T02:19:00Z,Wamen muda dan cerdas ❤❤❤❤,Wamen muda dan cerdas ,wamen muda dan cerdas ,3
Ugzli8mOFZfsWeAq3ZF4AaABAg,41RGl7dq8YQ,@dededaniar3025,0,2025-02-22T02:09:16Z,2025-02-22T02:09:16Z,Bagaimana dengan penonens phk......,Bagaimana dengan penonens phk......,bagaimana dengan penonens phk......,2
Ugyo8h5Pue-8c7806zR4AaABAg,41RGl7dq8YQ,@Dairora,0,2025-02-22T01:43:31Z,2025-02-22T01:43:31Z,Masewa mana bisa mengerti ttg effisiensi mereka ke kampus gays2 pakai jaket tapi tdk belajar menimba ilmu kerja tawuran melulu sebagai penyandang intelektual hrs korektif dan tdk menelan setiap info yg maduk percuma utak udang❤❤❤❤❤,Mahasewa mana bisa mengerti tentang efisiensi mereka ke kampus gaya pakai jaket tapi tidak belajar menimba ilmu kerja tawuran melulu sebagai penyandang intelektual harus korektif dan tidak menelan setiap info yg masuk percuma otak udang,masewa mana bisa mengerti ttg effisiensi mereka ke kampus gays2 pakai jaket tapi tdk belajar menimba ilmu kerja tawuran melulu sebagai penyandang intelektual hrs korektif dan tdk menelan setiap info yg maduk percuma utak udang,2
UgzX2CM4O_Q3bb4qhyx4AaABAg,41RGl7dq8YQ,@Ruslizainal-l3b,0,2025-02-22T01:15:04Z,2025-02-22T01:15:04Z,"Seharus nya mahasiswa"" berdialok lah dulu klu kalian berdemo terus banyak merugikan masarakat sedangkan masarakat banyak keperluan harian nya kan terganggu masarakat jadi nya gara"" kalian demo padahanl yg kalian untuk itu untuk kepentingan kalian nya klu kalian gk mampu untuk biaya kuliah jangan kuliah,","Seharus nya mahasiswa berdialok lah dulu kalau kalian berdemo terus banyak merugikan masyarakat sedangkan masyarakat banyak keperluan harian nya kan terganggu masarakat jadi nya gara"" kalian demo padahal yg kalian untuk itu untuk kepentingan kalian nya kalu kalian gak mampu untuk biaya kuliah jangan kuliah,","seharus nya mahasiswa"" berdialok lah dulu klu kalian berdemo terus banyak merugikan masarakat sedangkan masarakat banyak keperluan harian nya kan terganggu masarakat jadi nya gara"" kalian demo padahanl yg kalian untuk itu untuk kepentingan kalian nya klu kalian gk mampu untuk biaya kuliah jangan kuliah,",2
UgxCZol9v9XqMSP8HAZ4AaABAg,41RGl7dq8YQ,@airanindia4835,0,2025-02-22T01:09:12Z,2025-02-22T01:09:12Z,"Sudah dijelasin sama Pemerintah berkali2, efesiensi ga bakalan mengganggu UKT... Ini yg Demo saya heran ga ngerti2.... Mahasiswa ko kelakuan kayak Anak SMP","Sudah dijelasin sama Pemerintah berkali2, efesiensi ga bakalan mengganggu UKT. Ini yg Demo saya heran ga ngerti-ngerti. Mahasiswa ko kelakuan kayak Anak SMP","sudah dijelasin sama pemerintah berkali2, efesiensi ga bakalan mengganggu ukt... ini yg demo saya heran ga ngerti2.... mahasiswa ko kelakuan kayak anak smp",3
Ugyo6NbeauZFqdA0k7V4AaABAg,41RGl7dq8YQ,@novonovo7544,1,2025-02-22T00:32:29Z,2025-02-22T00:32:29Z,Trimksih pemerintah pusat lanjutkan NKRI kuat kedepannya waspada propaganda media Eropa Singapura Australia kelompok raja raja kecil pdi korupsi masyarakat Indonesia sudah cerdas,Terima kasih pemerintah pusat lanjutkan NKRI kuat kedepannya waspada propaganda media Eropa Singapura Australia kelompok raja raja kecil pdi korupsi masyarakat Indonesia sudah cerdas,trimksih pemerintah pusat lanjutkan nkri kuat kedepannya waspada propaganda media eropa singapura australia kelompok raja raja kecil pdi korupsi masyarakat indonesia sudah cerdas,3
